matrix_name,matrix_point_id,matrix_purpose,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
E,E_001,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,4,32,2,0,1,2x2,2,80
E,E_002,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,4,32,2,1,1,2x2,2,80
E,E_003,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,4,128,2,0,1,2x2,2,80
E,E_004,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,4,128,2,1,1,2x2,2,80
E,E_005,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,6,32,2,0,1,2x2,2,80
E,E_006,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,6,32,2,1,1,2x2,2,80
E,E_007,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,6,128,2,0,1,2x2,2,80
E,E_008,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,6,128,2,1,1,2x2,2,80
E,E_009,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,7,32,2,0,1,2x2,2,80
E,E_010,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,7,32,2,1,1,2x2,2,80
E,E_011,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,7,128,2,0,1,2x2,2,80
E,E_012,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,7,128,2,1,1,2x2,2,80
E,E_013,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,4,32,2,0,1,2x2,2,80
E,E_014,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,4,32,2,1,1,2x2,2,80
E,E_015,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,4,128,2,0,1,2x2,2,80
E,E_016,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,4,128,2,1,1,2x2,2,80
E,E_017,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,6,32,2,0,1,2x2,2,80
E,E_018,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,6,32,2,1,1,2x2,2,80
E,E_019,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,6,128,2,0,1,2x2,2,80
E,E_020,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,6,128,2,1,1,2x2,2,80
E,E_021,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,7,32,2,0,1,2x2,2,80
E,E_022,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,7,32,2,1,1,2x2,2,80
E,E_023,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,7,128,2,0,1,2x2,2,80
E,E_024,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,7,128,2,1,1,2x2,2,80
E,E_025,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,4,32,2,0,1,2x2,2,80
E,E_026,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,4,32,2,1,1,2x2,2,80
E,E_027,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,4,128,2,0,1,2x2,2,80
E,E_028,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,4,128,2,1,1,2x2,2,80
E,E_029,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,6,32,2,0,1,2x2,2,80
E,E_030,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,6,32,2,1,1,2x2,2,80
E,E_031,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,6,128,2,0,1,2x2,2,80
E,E_032,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,6,128,2,1,1,2x2,2,80
E,E_033,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,7,32,2,0,1,2x2,2,80
E,E_034,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,7,32,2,1,1,2x2,2,80
E,E_035,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,7,128,2,0,1,2x2,2,80
E,E_036,formal_v3穷举：全空间36点Ground-Truth评估,P3,512x512,7,128,2,1,1,2x2,2,80
