matrix_name,matrix_point_id,matrix_purpose,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
E,E_004,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,4,128,2,1,1,2x2,2,80
E,E_008,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,6,128,2,1,1,2x2,2,80
E,E_010,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,7,32,2,1,1,2x2,2,80
E,E_011,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,7,128,2,0,1,2x2,2,80
E,E_012,formal_v3穷举：全空间36点Ground-Truth评估,P1,512x512,7,128,2,1,1,2x2,2,80
E,E_016,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,4,128,2,1,1,2x2,2,80
E,E_020,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,6,128,2,1,1,2x2,2,80
E,E_022,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,7,32,2,1,1,2x2,2,80
E,E_023,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,7,128,2,0,1,2x2,2,80
E,E_024,formal_v3穷举：全空间36点Ground-Truth评估,P2,512x512,7,128,2,1,1,2x2,2,80
